公司簡稱,最近上市日
1101 台泥,1962/2/9
1102 亞泥,1962/6/18
1103 嘉泥,1969/11/27
1104 環泥,1971/2/2
1108 幸福,1990/6/6
1109 信大,1991/12/5
1110 東泥,1994/10/22
1201 味全,1962/2/9
1203 味王,1964/8/24
1210 大成,1978/5/20
1213 大飲,1981/4/10
1215 卜蜂,1987/7/27
1216 統一,1987/12/28
1217 愛之味,1989/10/28
1218 泰山,1989/11/11
1219 福壽,1990/12/1
1220 台榮,1991/11/20
1225 福懋油,1993/9/27
1227 佳格,1994/4/9
1229 聯華,1976/7/19
1231 聯華食,1995/11/2
1232 大統益,1996/2/9
1233 天仁,1999/1/20
1234 黑松,1999/3/12
1235 興泰,2000/9/11
1236 宏亞,2001/9/19
1240 茂生農經,2018/8/8
1256 鮮活果汁-KY,2016/3/17
1259 安心,2011/12/15
1264 德麥,2015/4/9
1268 漢來美食,2017/9/27
1301 台塑,1964/7/27
1303 南亞,1967/11/15
1304 台聚,1972/5/20
1305 華夏,1973/3/5
1307 三芳,1985/11/23
1308 亞聚,1986/6/20
1309 台達化,1986/6/27
1310 台苯,1987/8/6
1312 國喬,1988/12/21
1313 聯成,1989/3/27
1314 中石化,1991/7/12
1315 達新,1992/5/9
1316 上曜,1992/10/15
1319 東陽,1994/12/12
1321 大洋,1999/1/26
1323 永裕,2000/9/11
1324 地球,2000/9/11
1325 恒大,2000/9/11
1326 台化,1984/12/20
1336 台翰,2007/11/2
1337 再生-KY,2011/8/17
1338 廣華-KY,2012/12/19
1339 昭輝,2012/4/24
1340 勝悅-KY,2014/1/14
1341 富林-KY,2018/12/24
1342 八貫,2020/11/24
1402 遠東新,1967/4/14
1409 新纖,1973/10/8
1410 南染,1973/10/8
1413 宏洲,1975/12/27
1414 東和,1976/2/5
1416 廣豐,1976/4/20
1417 嘉裕,1976/12/28
1418 東華,1977/2/14
1419 新紡,1977/3/14
1423 利華,1979/4/2
1432 大魯閣,1982/7/26
1434 福懋,1985/12/24
1435 中福,1987/12/28
1436 華友聯,1988/4/11
1437 勤益控,1988/11/10
1438 三地開發,1988/12/15
1439 雋揚,1989/5/22
1440 南紡,1989/10/3
1441 大東,1989/10/27
1442 名軒,1989/11/16
1443 立益物流,1990/4/21
1444 力麗,1990/8/8
1445 大宇,1991/2/5
1446 宏和,1991/10/15
1447 力鵬,1992/1/28
1449 佳和,1992/5/6
1451 年興,1992/12/21
1452 宏益,1992/12/28
1453 大將,1993/4/19
1454 台富,1993/5/7
1455 集盛,1993/10/7
1456 怡華,1993/12/9
1457 宜進,1994/10/20
1459 聯發,1994/10/26
1460 宏遠,1995/4/28
1463 強盛,1996/12/5
1464 得力,1997/1/18
1465 偉全,1997/9/8
1466 聚隆,1998/4/4
1467 南緯,1998/12/21
1468 昶和,1999/1/21
1470 大統新創,1999/5/21
1471 首利,2000/3/6
1472 三洋實業,2000/9/11
1473 台南,2000/9/11
1474 弘裕,2000/10/31
1475 業旺,2000/10/27
1476 儒鴻,2001/4/18
1477 聚陽,2003/1/21
1503 士電,1969/12/15
1504 東元,1973/11/5
1506 正道,1980/8/11
1512 瑞利,1994/1/28
1513 中興電,1994/3/8
1514 亞力,1994/3/26
1515 力山,1995/2/4
1516 川飛,1995/4/1
1517 利奇,1995/11/14
1519 華城,1997/4/16
1521 大億,1997/10/6
1522 堤維西,1997/10/6
1524 耿鼎,1998/10/30
1525 江申,1999/5/15
1526 日馳,2000/3/27
1527 鑽全,2000/6/21
1528 恩德,2000/9/11
1529 樂事綠能,2000/9/11
1530 亞崴,2000/9/11
1531 高林股,2000/9/11
1532 勤美,2000/9/11
1533 車王電,2001/4/6
1535 中宇,2001/9/19
1536 和大,2001/9/19
1537 廣隆,2002/1/22
1538 正峰,2002/8/26
1539 巨庭,2002/10/29
1540 喬福,2002/8/26
1541 錩泰,2003/3/19
1558 伸興,2014/12/23
1560 中砂,2005/1/31
1563 巧新,2024/5/13
1565 精華,2004/3/30
1568 倉佑,2014/5/14
1569 濱川,2005/7/29
1570 力肯,2005/6/30
