公司簡稱,TEJ產業_名稱,TEJ子產業_名稱
1101 台泥,水泥製造,水泥製造
1102 亞泥,水泥製造,水泥製造
1103 嘉泥,水泥製造,水泥製造
1104 環泥,水泥製造,水泥製造
1108 幸福,水泥製造,水泥製造
1109 信大,水泥製造,水泥製造
1110 東泥,水泥製造,水泥製造
1201 味全,飲料乳品,飲料乳品
1203 味王,其他食品,其他食品
1210 大成,油脂飼料,油脂飼料
1213 大飲,飲料乳品,飲料乳品
1215 卜蜂,油脂飼料,油脂飼料
1216 統一,飲料乳品,飲料乳品
1217 愛之味,罐頭加工,罐頭加工
1218 泰山,油脂飼料,油脂飼料
1219 福壽,油脂飼料,油脂飼料
1220 台榮,油脂飼料,油脂飼料
1225 福懋油,油脂飼料,油脂飼料
1227 佳格,其他食品,其他食品
1229 聯華,油脂飼料,油脂飼料
1231 聯華食,其他食品,其他食品
1232 大統益,油脂飼料,油脂飼料
1233 天仁,其他食品,其他食品
1234 黑松,飲料乳品,飲料乳品
1235 興泰,油脂飼料,油脂飼料
1236 宏亞,其他食品,其他食品
1240 茂生農經,油脂飼料,油脂飼料
1256 鮮活果汁-KY,飲料乳品,飲料乳品
1259 安心,餐飲飯店,餐飲業
1264 德麥,其他食品,其他食品
1268 漢來美食,餐飲飯店,餐飲業
1294 漢田生技,藥,機能性食品
1301 台塑,石化,泛用塑膠
1303 南亞,石化,泛用塑膠
1304 台聚,石化,泛用塑膠
1305 華夏,石化,泛用塑膠
1307 三芳,石化,合成皮
1308 亞聚,石化,泛用塑膠
1309 台達化,石化,泛用塑膠
1310 台苯,石化,泛用塑膠
1312 國喬,石化,泛用塑膠
1313 聯成,石化,可塑劑
1314 中石化,石化,化纖
1315 達新,石化,塑膠加工
1316 上曜,建設,建設
1319 東陽,汽車組件,汽車組件
1321 大洋,石化,塑膠加工
1323 永裕,石化,塑膠加工
1324 地球,石化,膠帶
1325 恒大,不織布,不織布
1326 台化,石化,泛用塑膠
1336 台翰,電子零組件,沖壓零組件
1337 再生-KY,塑膠製品,塑膠製品
1338 廣華-KY,汽車組件,汽車組件
1339 昭輝,汽車組件,汽車組件
1340 勝悅-KY,塑膠製品,塑膠製品
1341 富林-KY,石化,合成皮
1342 八貫,塑膠製品,塑膠製品
1402 遠東新,人纖,聚酯絲棉
1409 新纖,人纖,聚酯絲棉
1410 南染,染整,染整
1413 宏洲,人纖,加工絲
1414 東和,棉紡,聚酯紗棉紗
1416 廣豐,軟體服務,應用軟體
1417 嘉裕,成衣,成衣製造
1418 東華,棉紡,亞克力纖維
1419 新紡,成衣,織布
1423 利華,毛紡,毛紡
1432 大魯閣,百貨批發,百貨及Mall
1434 福懋,成衣,織布
1435 中福,物業管理,物業管理
1436 華友聯,建設,建設
1437 勤益控,物業管理,物業管理
1438 三地開發,建設,建設
1439 雋揚,建設,建設
1440 南紡,人纖,聚酯絲棉
1441 大東,棉紡,聚酯紗棉紗
1442 名軒,建設,建設
1443 立益物流,貨運倉儲業,貨運倉儲業
1444 力麗,人纖,加工絲
1445 大宇,成衣,織布
1446 宏和,建設,建設
1447 力鵬,人纖,尼龍絲
1449 佳和,成衣,織布
1451 年興,成衣,成衣製造
1452 宏益,人纖,加工絲
1453 大將,建設,建設
1454 台富,成衣,織布
1455 集盛,人纖,尼龍絲
1456 怡華,建設,建設
1457 宜進,人纖,加工絲
1459 聯發,人纖,加工絲
1460 宏遠,成衣,織布
1463 強盛新,染整,染整
1464 得力,成衣,織布
1465 偉全,成衣,織布
1466 聚隆,人纖,尼龍絲
1467 南緯,成衣,成衣製造
1468 昶和,成衣,織布
1470 大統新創,染整,染整
1471 首利,電子零組件,電源供應器
1472 三洋實業,營造,營造
1473 台南,成衣,成衣製造
