trade_index,stock_id,entry_date,exit_date,entry_sig_date,exit_sig_date,position,period,entry_index,exit_index,return
0,2610,2001-01-02,2001-02-01,2000-12-30,2001-01-31,0.5,16,271,287,-0.07857270725488662
1,2707,2001-01-02,2001-02-01,2000-12-30,2001-01-31,0.5,16,271,287,-0.10717088902950221
2,1475,2001-02-01,2001-03-01,2001-01-31,2001-02-27,0.3333333333333333,19,287,306,-0.020663702500205414
3,2915,2001-02-01,2001-03-01,2001-01-31,2001-02-27,0.3333333333333333,19,287,306,-0.03459023294359063
4,9945,2001-02-01,2001-03-01,2001-01-31,2001-02-27,0.3333333333333333,19,287,306,-0.014666665226035415
5,1210,2001-03-01,2001-04-02,2001-02-27,2001-03-30,0.25,22,306,328,0.12714663299663279
6,2610,2001-03-01,2001-04-02,2001-02-27,2001-03-30,0.25,22,306,328,-0.1332110433690342
7,9921,2001-03-01,2001-04-02,2001-02-27,2001-03-30,0.25,22,306,328,-0.03441967523302345
8,1538,2001-04-02,2001-05-02,2001-03-30,2001-04-30,0.1111111111111111,20,328,348,-0.15633865330462146
9,2482,2001-04-02,2001-05-02,2001-03-30,2001-04-30,0.1111111111111111,20,328,348,-0.1761214006611704
10,2901,2001-04-02,2001-05-02,2001-03-30,2001-04-30,0.1111111111111111,20,328,348,0.004200802001134729
11,2915,2001-04-02,2001-05-02,2001-03-30,2001-04-30,0.1111111111111111,20,328,348,-0.03561656195625527
12,3052,2001-04-02,2001-05-02,2001-03-30,2001-04-30,0.1111111111111111,20,328,348,-0.1643495580152968
13,9927,2001-04-02,2001-05-02,2001-03-30,2001-04-30,0.1111111111111111,20,328,348,-0.145159344693193
14,9934,2001-04-02,2001-05-02,2001-03-30,2001-04-30,0.1111111111111111,20,328,348,0.04731637392109058
15,1233,2001-05-02,2001-06-01,2001-04-30,2001-05-31,0.0625,22,348,370,-0.14548444755475062
16,1460,2001-05-02,2001-06-01,2001-04-30,2001-05-31,0.0625,22,348,370,-0.12794015888656293
17,1522,2001-05-02,2001-06-01,2001-04-30,2001-05-31,0.0625,22,348,370,0.053294399305754546
18,1708,2001-05-02,2001-06-01,2001-04-30,2001-05-31,0.0625,22,348,370,-0.23332191011236
19,2331,2001-05-02,2001-06-01,2001-04-30,2001-05-31,0.0625,22,348,370,0.1084994958474207
20,2387,2001-03-01,2001-06-01,2001-02-27,2001-05-31,0.25,64,306,370,-0.002927627901634678
21,2911,2001-05-02,2001-06-01,2001-04-30,2001-05-31,0.0625,22,348,370,0.0811070590052524
22,4205,2001-05-02,2001-06-01,2001-04-30,2001-05-31,0.0625,22,348,370,-0.12352979962628673
23,4207,2001-05-02,2001-06-01,2001-04-30,2001-05-31,0.0625,22,348,370,-0.30585165390404057
24,4716,2001-05-02,2001-06-01,2001-04-30,2001-05-31,0.0625,22,348,370,-0.20210871506038627
25,8917,2001-05-02,2001-06-01,2001-04-30,2001-05-31,0.0625,22,348,370,0.009941593930441382
26,8924,2001-05-02,2001-06-01,2001-04-30,2001-05-31,0.0625,22,348,370,-0.09428454858260547
27,9921,2001-05-02,2001-06-01,2001-04-30,2001-05-31,0.0625,22,348,370,0.01455683799535681
28,1439,2001-05-02,2001-07-02,2001-04-30,2001-06-29,0.0625,42,348,390,-0.05631557075525948
29,1475,2001-06-01,2001-07-02,2001-05-31,2001-06-29,0.09999999999999999,20,370,390,-0.028472745191733793
30,1714,2001-06-01,2001-07-02,2001-05-31,2001-06-29,0.09999999999999999,20,370,390,-0.024204653585970435
31,2362,2001-06-01,2001-07-02,2001-05-31,2001-06-29,0.09999999999999999,20,370,390,0.001547655319415719
32,2431,2001-06-01,2001-07-02,2001-05-31,2001-06-29,0.09999999999999999,20,370,390,-0.19391986496364386
33,2462,2001-06-01,2001-07-02,2001-05-31,2001-06-29,0.09999999999999999,20,370,390,-0.026700040096231257
34,5309,2001-06-01,2001-07-02,2001-05-31,2001-06-29,0.09999999999999999,20,370,390,-0.07422420073150325
35,8916,2001-06-01,2001-07-02,2001-05-31,2001-06-29,0.09999999999999999,20,370,390,-0.00585
36,1460,2001-07-02,2001-08-01,2001-06-29,2001-07-31,0.08333333333333334,21,390,411,-0.16270671840581916
37,2374,2001-07-02,2001-08-01,2001-06-29,2001-07-31,0.08333333333333334,21,390,411,-0.15710380053583825
38,2385,2001-04-02,2001-08-01,2001-03-30,2001-07-31,0.1111111111111111,83,328,411,-0.22431539162112943
39,2387,2001-07-02,2001-08-01,2001-06-29,2001-07-31,0.08333333333333334,21,390,411,-0.08254307644875657
40,2423,2001-07-02,2001-08-01,2001-06-29,2001-07-31,0.08333333333333334,21,390,411,-0.25754617739533325
41,2430,2001-05-02,2001-08-01,2001-04-30,2001-07-31,0.0625,63,348,411,-0.311299283227061
42,2908,2001-07-02,2001-08-01,2001-06-29,2001-07-31,0.08333333333333334,21,390,411,-0.12450077553008464
43,2911,2001-07-02,2001-08-01,2001-06-29,2001-07-31,0.08333333333333334,21,390,411,-0.16680444295712035
44,5007,2001-07-02,2001-08-01,2001-06-29,2001-07-31,0.08333333333333334,21,390,411,-0.1315324918100985
45,5371,2001-07-02,2001-08-01,2001-06-29,2001-07-31,0.08333333333333334,21,390,411,-0.3323786974237998
46,5434,2001-07-02,2001-08-01,2001-06-29,2001-07-31,0.08333333333333334,21,390,411,-0.15485619590297414
47,8924,2001-07-02,2001-08-01,2001-06-29,2001-07-31,0.08333333333333334,21,390,411,-0.13412759899258428
48,1235,2001-08-01,2001-09-03,2001-07-31,2001-08-31,0.16666666666666666,23,411,434,0.21085744494931916
49,2331,2001-08-01,2001-09-03,2001-07-31,2001-08-31,0.16666666666666666,23,411,434,0.19627609739980426
50,5438,2001-08-01,2001-09-03,2001-07-31,2001-08-31,0.16666666666666666,23,411,434,-0.052036534001839586
51,9924,2001-08-01,2001-09-03,2001-07-31,2001-08-31,0.16666666666666666,23,411,434,-0.07976614696821747
52,1423,2001-08-01,2001-10-02,2001-07-31,2001-09-28,0.16666666666666666,40,411,451,0.07495874895268186
53,4207,2001-09-03,2001-10-02,2001-08-31,2001-09-28,0.3333333333333333,17,434,451,-0.24448020878832896
54,9934,2001-08-01,2001-10-02,2001-07-31,2001-09-28,0.16666666666666666,40,411,451,0.00829946569668296
55,1439,2001-10-02,2001-11-01,2001-09-28,2001-10-31,0.5,21,451,472,-0.042735245901639664
56,2108,2001-10-02,2001-11-01,2001-09-28,2001-10-31,0.5,21,451,472,-0.016006447136007164
57,1232,2001-11-01,2001-12-03,2001-10-31,2001-11-30,0.25,22,472,494,-0.002177017844571561
58,1235,2001-11-01,2001-12-03,2001-10-31,2001-11-30,0.25,22,472,494,-0.02332255509930423
